Quantity,Reference Designator,Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Description,
4,"C1, C2, C4, C6",CL10A106MP8NNNC,Samsung Electro-Mechanics,1276-1871-1-ND,CAP CER 10UF 10V X5R 0603,
1,C10,F930J107KAA,AVX Corporation,478-8152-1-ND,CAP TANT 100UF 10% 6.3V 1206,
1,C12,F930J106MAA,AVX Corporation,478-8151-1-ND,CAP TANT 10UF 20% 6.3V 1206,
4,"C3, C8, C9, C14",CL10A105KP8NNNC,Samsung Electro-Mechanics,1276-1182-1-ND,CAP CER 1UF 10V X5R 0603,
3,"C5, C11, C13",CL10B104KB8NNNC,Samsung Electro-Mechanics,1276-1000-1-ND,CAP CER 0.1UF 50V X7R 0603,
1,C7,CL10C221JB8NNNC,Samsung Electro-Mechanics,1276-1048-1-ND,CAP CER 220PF 50V C0G/NP0 0603,
1,D4,MBR120LSFT1G,ON Semiconductor,MBR120LSFT1GOSCT-ND,DIODE SCHOTTKY 20V 1A SOD123L,
1,J1,SJ1-3525NG-GR,CUI Inc.,CP1-3525NG-GR-ND,CONN JACK STEREO 3.5MM R/A,
1,J3,S2B-PH-SM4-TB(LF)(SN),JST Sales America Inc.,455-1749-1-ND,CONN HEADER SMD R/A 2POS 2MM,
1,J4,ZX62D-B-5P8(30),Hirose Electric Co Ltd,H125272CT-ND,CONN RCPT USB2.0 MICRO B SMD R/A,
1,J5,5031821852,Molex,WM12834CT-ND,MICRO SD NORMAL ULTRALOWPRO8CKTE,
1,LED2,SSL-LX3059IGW,Lumex Opto/Components Inc.,67-1327-ND,LED GRN/RED DIFF T-3MM TRI T/H,
2,"LED3, LED4",SML-D12M8WT86,Rohm Semiconductor,511-1578-1-ND,LED GREEN DIFFUSED 0603 SMD,
1,Q3,DMG3415U-7,Diodes Incorporated,DMG3415UDICT-ND,MOSFET P-CH 20V 4A SOT-23,
2,"Q4, Q5",MMBT2222A-7-F,Diodes Incorporated,MMBT2222A-FDICT-ND,TRANS NPN 40V 0.6A SMD SOT23-3,
1,R1,ERJ-PA3J472V,Panasonic Electronic Components,P4.7KBZCT-ND,RES SMD 4.7K OHM 5% 1/4W 0603,
1,R18,ERJ-PA3J151V,Panasonic Electronic Components,P150BZCT-ND,RES SMD 150 OHM 5% 1/4W 0603,
5,"R2, R3, R19, R20, R21",ERJ-PA3J104V,Panasonic Electronic Components,P100KBZCT-ND,RES SMD 100K OHM 5% 1/4W 0603,
1,R4,ERJ-PA3J471V,Panasonic Electronic Components,P470BZCT-ND,RES SMD 470 OHM 5% 1/4W 0603,
3,"R5, R7, R8",ERJ-PA3J152V,Panasonic Electronic Components,P1.5KBZCT-ND,RES SMD 1.5K OHM 5% 1/4W 0603,
8,"R6, R9, R10, R11, R12, R13, R14, R15",ERJ-PA3J103V,Panasonic Electronic Components,P10KBZCT-ND,RES SMD 10K OHM 5% 1/4W 0603,
2,"S1, S2",KMR221GLFS,C&K,401-1427-1-ND,SWITCH TACTILE SPST-NO 0.05A 32V,
1,S3,MA12RTR,APEM Inc.,679-1847-1-ND,SWITCH SLIDE SPDT 300MA 4V,
1,U1,ESP32-WROVER (16MB),Espressif Systems,1904-1015-1-ND,WIFI MODULE 128MBITS SPI FLASH,
1,U3,AP2112K-3.3TRG1,Diodes Incorporated,AP2112K-3.3TRG1DICT-ND,IC REG LINEAR 3.3V 600MA SOT25,
1,U4,MCP73831T-2ACI/OT,Microchip Technology,MCP73831T-2ACI/OTCT-ND,IC CONTROLLR LI-ION 4.2V SOT23-5,
1,U6,LM4875MX/NOPB,Texas Instruments,296-35282-1-ND,IC AMP AUDIO PWR 1W MONO 8SOIC,
1,U7,FT232RL-REEL,"FTDI, Future Technology Devices International Ltd",768-1007-1-ND,IC USB FS SERIAL UART 28-SSOP,
2,"R16, R17",10K,,,"Gameboy Pocket Volume 
(10K Potentiometer)",https://www.aliexpress.com/item/32830491244.html
1,U5,TFT-DISPLAY-2.6-51PIN,,,"TFT-DISPLAY-2.6-51PIN
2.6 inch TFT liquid horizontal screen ILI9342 3/4 line SPI MCU8 bit 16 touch",https://www.aliexpress.com/item/32827359467.html
